Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days
SH10042,Warehouse_NYC,Los Angeles,USPS,29/12/2023,01/01/2024,37.8,129.73,Delivered,660,3
SH10043,Warehouse_SEA,New York,DHL,09/03/2023,13/03/2023,17.4,194.58,Delivered,1153,4
SH10044,Warehouse_CHI,San Francisco,OnTrac,08/05/2023,11/05/2023,4.7,49.68,Delivered,343,3
SH10045,Warehouse_NYC,Miami,LaserShip,24/04/2023,29/04/2023,29.7,245.98,Delivered,1973,5
SH10046,Warehouse_LA,Los Angeles,DHL,05/09/2023,11/09/2023,9,356.77,Delivered,2335,6
SH10047,Warehouse_SF,Dallas,USPS,17/01/2023,20/01/2023,25.4,127.22,Delivered,816,3
SH10048,Warehouse_SF,Phoenix,LaserShip,23/04/2023,30/04/2023,14.2,248.03,Delivered,1758,7
SH10049,Warehouse_MIA,Boston,UPS,07/01/2023,11/01/2023,84.1,251.24,Delivered,1010,4
SH10050,Warehouse_MIA,New York,FedEx,06/08/2023,22/08/2023,29.5,340.07,Delayed,2396,6
SH10051,Warehouse_SEA,Minneapolis,USPS,23/02/2023,28/02/2023,19.6,156.03,Delivered,1267,5
SH10052,Warehouse_BOS,Chicago,Amazon Logistics,27/01/2023,01/02/2023,25.9,206.17,Delivered,1365,5
SH10053,Warehouse_BOS,Dallas,UPS,18/02/2023,23/02/2023,26.6,277.97,Delivered,1847,5
SH10054,Warehouse_DEN,Minneapolis,LaserShip,11/05/2023,17/05/2023,31.6,283.13,Delivered,2249,6
SH10055,Warehouse_CHI,Chicago,OnTrac,27/09/2023,30/09/2023,24.7,68.63,Delivered,342,3
SH10056,Warehouse_SF,Minneapolis,LaserShip,14/04/2023,19/04/2023,23.2,231.64,Delivered,1913,5
SH10057,Warehouse_HOU,Los Angeles,LaserShip,26/10/2023,29/10/2023,6.8,42.06,Lost,255,3
SH10058,Warehouse_SF,Los Angeles,USPS,11/10/2023,13/10/2023,8.9,78.37,Delivered,600,2
SH10059,Warehouse_BOS,San Francisco,OnTrac,01/11/2023,06/11/2023,28.5,128.94,Delivered,622,5
SH10060,Warehouse_HOU,Denver,OnTrac,10/10/2023,13/10/2023,59.8,196.89,Delivered,1030,3
SH10061,Warehouse_ATL,Chicago,LaserShip,04/08/2023,07/08/2023,9.8,93.3,Delivered,708,3
SH10062,Warehouse_SEA,Detroit,FedEx,23/05/2023,10/06/2023,61.9,316.41,Delayed,1914,5
SH10063,Warehouse_BOS,Los Angeles,UPS,16/07/2023,19/07/2023,25.6,128.53,Delivered,740,3
SH10064,Warehouse_CHI,Los Angeles,UPS,13/10/2023,16/10/2023,67.6,232.32,Delivered,1007,3
SH10065,Warehouse_LA,Miami,LaserShip,23/04/2023,27/04/2023,50.3,152.13,Delivered,864,4
SH10066,Warehouse_SF,Miami,Amazon Logistics,03/04/2023,09/04/2023,15.9,325.16,Delivered,2463,6
SH10067,Warehouse_SEA,Seattle,DHL,11/06/2023,14/06/2023,42.3,195.98,Delivered,998,3
SH10068,Warehouse_SEA,Atlanta,FedEx,01/09/2023,09/09/2023,26.2,261.81,Delivered,1801,8
SH10069,Warehouse_SEA,Houston,FedEx,31/05/2023,04/06/2023,35.7,180.2,Delivered,989,4
SH10070,Warehouse_HOU,Chicago,DHL,17/04/2023,26/04/2023,6.9,56.51,Delayed,383,3
SH10072,Warehouse_NYC,Los Angeles,LaserShip,04/03/2023,13/03/2023,10.8,225.74,Delayed,1727,6
SH10073,Warehouse_LA,Seattle,USPS,11/09/2023,14/09/2023,0.6,199.78,In Transit,1135,3
SH10074,Warehouse_MIA,Phoenix,UPS,27/02/2023,02/03/2023,93,221.01,Delivered,757,3
SH10075,Warehouse_HOU,Dallas,OnTrac,31/07/2023,04/08/2023,35.3,261.49,Delivered,1673,4
SH10076,Warehouse_DEN,Houston,Amazon Logistics,12/11/2023,13/11/2023,25.4,85.28,Delivered,319,1
SH10077,Warehouse_CHI,Seattle,USPS,31/07/2023,02/08/2023,20.8,130.21,Lost,994,2
SH10078,Warehouse_LA,Portland,UPS,29/11/2023,02/12/2023,10.9,119.38,Delivered,612,3
SH10079,Warehouse_SF,Detroit,UPS,30/06/2023,10/07/2023,22.4,309.17,Delayed,2214,7
SH10080,Warehouse_LA,Los Angeles,LaserShip,04/04/2023,07/04/2023,15.1,152.16,Delivered,1051,3
SH10081,Warehouse_SF,New York,DHL,14/03/2023,19/03/2023,22.9,289.37,Delivered,1714,5
SH10082,Warehouse_CHI,Denver,OnTrac,07/05/2023,09/05/2023,14.1,144.14,Delivered,1000,2
SH10083,Warehouse_SF,Phoenix,LaserShip,04/11/2023,12/11/2023,9.3,333.26,Delivered,2210,8
SH10084,Warehouse_CHI,Atlanta,FedEx,02/07/2023,06/07/2023,22.9,233.89,Delivered,1510,4
SH10085,Warehouse_CHI,Los Angeles,UPS,06/04/2023,12/04/2023,31.7,282.19,Delivered,1777,6
SH10086,Warehouse_SEA,Minneapolis,DHL,22/11/2023,29/11/2023,13.5,422.32,Delivered,2388,7
SH10087,Warehouse_CHI,Chicago,OnTrac,21/11/2023,30/11/2023,17.1,214.99,Delayed,1284,4
SH10088,Warehouse_HOU,Miami,USPS,21/06/2023,24/06/2023,37,184.07,Delivered,1198,3
SH10089,Warehouse_NYC,Portland,LaserShip,10/11/2023,14/11/2023,127.8,247.54,Delivered,1482,4
SH10090,Warehouse_MIA,Chicago,OnTrac,27/01/2023,29/01/2023,10.8,83.32,Returned,530,2
SH10091,Warehouse_ATL,Los Angeles,Amazon Logistics,28/11/2023,09/12/2023,8.5,151.64,Delayed,920,4
SH10092,Warehouse_DEN,Los Angeles,LaserShip,26/04/2023,01/05/2023,16,277.61,Delivered,1950,5
SH10093,Warehouse_MIA,Houston,UPS,03/03/2023,08/03/2023,32.9,337.04,Delivered,2233,5
SH10094,Warehouse_ATL,San Francisco,OnTrac,17/04/2023,24/04/2023,29.5,167.82,Delivered,1022,7
SH10095,Warehouse_MIA,Detroit,Amazon Logistics,01/07/2023,04/07/2023,18.6,191.08,Delivered,1447,3
SH10096,Warehouse_MIA,Atlanta,DHL,20/08/2023,21/08/2023,9.6,42.77,Delivered,241,1
SH10098,Warehouse_BOS,Miami,OnTrac,10/05/2023,15/05/2023,11.1,273.63,Delivered,2053,5
SH10099,Warehouse_SEA,Phoenix,LaserShip,18/07/2023,21/07/2023,14.6,141.34,Delivered,1158,3
SH10100,Warehouse_CHI,Atlanta,Amazon Logistics,10/04/2023,17/04/2023,11.9,277.05,Delivered,2109,7
SH10102,Warehouse_BOS,Houston,DHL,17/07/2023,24/07/2023,8.6,352.85,Delivered,2465,7
SH10103,Warehouse_BOS,New York,Amazon Logistics,14/01/2023,25/01/2023,6.3,283.56,Delivered,2366,11
SH10104,Warehouse_SEA,New York,FedEx,13/12/2023,16/12/2023,16.6,121.29,Delivered,543,3
SH10105,Warehouse_MIA,New York,DHL,23/04/2023,06/05/2023,40.7,270.27,Delayed,1682,6
SH10106,Warehouse_HOU,Denver,OnTrac,19/08/2023,22/08/2023,22.6,149.52,Delivered,1030,3
SH10107,Warehouse_NYC,Chicago,UPS,30/07/2023,02/08/2023,44.3,140.74,Delivered,790,3
SH10108,Warehouse_MIA,Minneapolis,LaserShip,15/08/2023,19/08/2023,12.8,198.31,Delivered,1534,4
SH10110,Warehouse_CHI,Houston,DHL,22/09/2023,29/09/2023,46.1,409.06,Delivered,2306,7
SH10111,Warehouse_SF,New York,FedEx,24/05/2023,29/05/2023,19.2,273.26,Delivered,1810,5
SH10112,Warehouse_HOU,Chicago,Amazon Logistics,02/02/2023,16/02/2023,7.6,41.42,Delayed,277,2
SH10113,Warehouse_CHI,Chicago,USPS,07/06/2023,13/06/2023,38.1,272.16,Delivered,1953,6
SH10114,Warehouse_SF,Los Angeles,FedEx,03/04/2023,04/03/2023,23.2,270.43,Delivered,1800,4
SH10115,Warehouse_NYC,Portland,LaserShip,20/07/2023,25/07/2023,22.8,267.89,Delivered,1951,5
SH10116,Warehouse_BOS,Houston,FedEx,05/01/2023,12/01/2023,18.8,249.35,Delivered,1744,7
SH10117,Warehouse_CHI,Minneapolis,Amazon Logistics,18/05/2023,22/05/2023,14,171.55,Delivered,1323,4
SH10118,Warehouse_DEN,Denver,OnTrac,24/03/2023,01/04/2023,17.6,215.18,Delayed,1646,4
SH10119,Warehouse_DEN,Minneapolis,DHL,10/07/2023,11/07/2023,21.6,64.74,Delivered,261,1
SH10120,Warehouse_SEA,Denver,Amazon Logistics,26/09/2023,02/10/2023,8.2,278.34,Delivered,2330,6
SH10121,Warehouse_CHI,Houston,FedEx,06/03/2023,11/03/2023,25.1,165.41,Delivered,973,5
SH10122,Warehouse_HOU,New York,Amazon Logistics,18/05/2023,25/05/2023,14.4,280.59,Delivered,2399,7
SH10123,Warehouse_ATL,Phoenix,OnTrac,10/08/2023,14/08/2023,50.1,210.77,Delivered,1297,4
SH10124,Warehouse_ATL,San Francisco,USPS,05/04/2023,11/04/2023,20.3,150.38,Delivered,1200,6
SH10125,Warehouse_CHI,Miami,USPS,28/06/2023,02/07/2023,11.8,180.52,Delivered,1350,4
SH10126,Warehouse_SEA,Miami,UPS,02/09/2023,09/09/2023,90.2,384.64,Delivered,2188,7
SH10127,Warehouse_LA,Miami,UPS,05/10/2023,13/10/2023,30.1,156.74,Delivered,1075,8
SH10128,Warehouse_BOS,Miami,LaserShip,18/10/2023,27/10/2023,3.2,159.82,Delivered,1260,9
SH10129,Warehouse_MIA,Miami,LaserShip,17/04/2023,22/04/2023,31.9,260.72,Delivered,1926,5
SH10130,Warehouse_MIA,Phoenix,LaserShip,01/12/2023,06/12/2023,15.1,321.82,Delivered,2204,5
SH10131,Warehouse_SF,Seattle,OnTrac,26/05/2023,02/06/2023,19.2,253.39,Returned,2048,7
SH10133,Warehouse_NYC,Atlanta,UPS,23/12/2023,26/12/2023,26.4,186.75,Delivered,870,3
SH10134,Warehouse_SF,Portland,LaserShip,03/01/2023,10/01/2023,24.4,313.23,Delivered,2314,7
SH10135,Warehouse_LA,San Francisco,DHL,16/09/2023,19/09/2023,59.4,234.64,Delivered,1070,3
SH10136,Warehouse_CHI,Miami,FedEx,04/11/2023,10/11/2023,15.9,257.13,Delivered,1350,6
SH10137,Warehouse_DEN,Boston,Amazon Logistics,10/02/2023,14/02/2023,17.5,208.17,Delivered,1476,4
SH10138,Warehouse_NYC,Houston,OnTrac,08/11/2023,11/11/2023,66.5,199.04,Delivered,672,3
SH10139,Warehouse_CHI,Houston,USPS,10/03/2023,13/03/2023,19.4,169.99,Delivered,1300,3
SH10140,Warehouse_SEA,Portland,USPS,02/12/2023,04/12/2023,48,133.98,Delivered,593,2
SH10141,Warehouse_BOS,Chicago,USPS,15/10/2023,20/10/2023,18.4,237.17,Delivered,1939,5
SH10142,Warehouse_NYC,Chicago,OnTrac,06/01/2023,09/01/2023,38.9,137.82,Delivered,790,3
SH10143,Warehouse_LA,San Francisco,OnTrac,05/02/2023,12/02/2023,36.6,310.16,Delivered,2497,7
SH10144,Warehouse_SEA,New York,USPS,05/05/2023,07/05/2023,19.2,81.43,Delivered,510,2
SH10145,Warehouse_HOU,Atlanta,UPS,03/07/2023,10/07/2023,23.4,142.13,Delayed,800,3
SH10147,Warehouse_ATL,San Francisco,UPS,14/07/2023,19/07/2023,66.8,336.2,Delivered,2262,5
SH10148,Warehouse_NYC,Minneapolis,Amazon Logistics,25/07/2023,31/07/2023,25.8,258.31,Delivered,2078,6
SH10149,Warehouse_LA,New York,DHL,22/05/2023,07/06/2023,38.2,151.35,Lost,775,3
SH10150,Warehouse_SF,Phoenix,LaserShip,27/05/2023,01/06/2023,11.6,278.85,Delivered,2080,5
SH10151,Warehouse_ATL,San Francisco,UPS,15/11/2023,30/11/2023,21.8,123.4,Delayed,573,2
SH10152,Warehouse_HOU,Seattle,FedEx,30/03/2023,02/04/2023,11.5,167.08,Delivered,1125,3
SH10153,Warehouse_MIA,Chicago,LaserShip,02/11/2023,17/11/2023,45,118.74,Delayed,382,5
SH10155,Warehouse_SF,Seattle,USPS,22/07/2023,27/07/2023,12.2,278.15,Delivered,2161,5
SH10156,Warehouse_LA,New York,FedEx,07/03/2023,12/03/2023,54.9,332.76,Delivered,2244,5
SH10157,Warehouse_SEA,Seattle,LaserShip,04/05/2023,06/05/2023,11.9,83.93,Delivered,561,2
SH10158,Warehouse_NYC,Phoenix,Amazon Logistics,07/12/2023,09/12/2023,11.5,69.7,Delivered,388,2
SH10159,Warehouse_HOU,Portland,UPS,14/05/2023,23/05/2023,32.2,334.49,Delivered,2453,9
SH10160,Warehouse_LA,Atlanta,UPS,12/11/2023,16/11/2023,22.1,169.82,Delivered,821,4
SH10161,Warehouse_HOU,Chicago,LaserShip,19/09/2023,23/09/2023,23.8,206.9,Delivered,1566,4
SH10162,Warehouse_BOS,Houston,USPS,14/03/2023,16/03/2023,22.1,79.13,Delivered,465,2
SH10163,Warehouse_CHI,Miami,Amazon Logistics,17/10/2023,21/10/2023,19.7,196.56,Delivered,1350,4
SH10164,Warehouse_CHI,Atlanta,USPS,19/09/2023,21/09/2023,14.6,94.67,Delivered,648,2
SH10165,Warehouse_LA,Denver,OnTrac,19/11/2023,21/11/2023,23.3,117.91,Delivered,586,2
SH10166,Warehouse_SEA,Minneapolis,FedEx,06/05/2023,11/05/2023,20.2,309.57,Delivered,1964,5
SH10167,Warehouse_LA,Miami,UPS,23/08/2023,25/08/2023,5.7,24.11,Delivered,143,2
SH10168,Warehouse_CHI,Houston,Amazon Logistics,25/07/2023,29/07/2023,7.5,157.13,Delivered,1262,4
SH10169,Warehouse_DEN,Phoenix,FedEx,01/09/2023,06/09/2023,84.2,414.53,Delivered,2302,5
SH10170,Warehouse_MIA,Atlanta,USPS,25/09/2023,28/09/2023,18.2,103.05,Delivered,679,3
SH10171,Warehouse_LA,Chicago,Amazon Logistics,15/09/2023,17/09/2023,12.9,114.88,Delivered,755,2
SH10172,Warehouse_SEA,New York,Amazon Logistics,23/04/2023,01/05/2023,35.1,272.06,Delivered,2056,8
SH10173,Warehouse_MIA,Detroit,UPS,28/07/2023,01/08/2023,6.6,156.36,In Transit,1222,4
SH10174,Warehouse_LA,Houston,FedEx,05/01/2023,23/01/2023,11.5,244.22,Delayed,1814,8
SH10175,Warehouse_MIA,Minneapolis,USPS,19/07/2023,25/07/2023,11.6,184.5,Delivered,1454,6
SH10176,Warehouse_NYC,Miami,USPS,17/06/2023,19/06/2023,105,180.26,Returned,543,2
SH10177,Warehouse_BOS,Atlanta,DHL,30/07/2023,02/08/2023,13.8,167.23,Delivered,1142,3
SH10178,Warehouse_MIA,Portland,FedEx,07/06/2023,10/06/2023,14.1,137.25,Delivered,810,3
SH10179,Warehouse_CHI,Portland,Amazon Logistics,14/08/2023,27/08/2023,30.3,154.16,Delayed,1081,3
SH10180,Warehouse_DEN,Phoenix,Amazon Logistics,21/01/2023,22/01/2023,19.4,40.24,Delivered,152,1
SH10181,Warehouse_NYC,Phoenix,DHL,15/09/2023,20/09/2023,10,156.13,Delivered,1120,5
SH10182,Warehouse_SEA,Portland,Amazon Logistics,01/01/2023,10/01/2023,22.8,319.99,Delivered,2327,9
SH10184,Warehouse_SF,Houston,Amazon Logistics,25/11/2023,30/11/2023,17.5,347.71,Delivered,2380,5
SH10185,Warehouse_LA,Minneapolis,LaserShip,20/09/2023,24/09/2023,25.6,108.01,Delivered,694,4
SH10186,Warehouse_HOU,New York,FedEx,04/07/2023,08/07/2023,19.6,261.42,Delivered,1791,4
SH10187,Warehouse_LA,New York,OnTrac,30/04/2023,02/05/2023,15.7,67.25,Delivered,411,2
SH10188,Warehouse_SEA,San Francisco,OnTrac,20/12/2023,26/12/2023,7.5,158.02,Delivered,1073,6
SH10189,Warehouse_MIA,Minneapolis,FedEx,29/07/2023,02/08/2023,23.5,261.49,Delivered,1634,4
SH10190,Warehouse_BOS,San Francisco,USPS,19/02/2023,25/02/2023,4.5,277.56,Delivered,2411,6
SH10192,Warehouse_SEA,Detroit,FedEx,10/12/2023,15/12/2023,26.5,345.27,Delivered,2052,5
SH10193,Warehouse_NYC,Dallas,LaserShip,06/11/2023,14/11/2023,12.8,378.16,Delivered,2465,8
SH10194,Warehouse_LA,Chicago,DHL,19/02/2023,24/02/2023,29.3,206.8,Delivered,1213,5
SH10195,Warehouse_LA,Houston,LaserShip,14/05/2023,18/05/2023,15.5,174.55,Delivered,1247,4
SH10196,Warehouse_SF,New York,OnTrac,16/10/2023,22/10/2023,19,321.04,Lost,2278,6
SH10197,Warehouse_BOS,San Francisco,USPS,30/05/2023,07/06/2023,15.3,300.44,Delayed,2406,7
SH10198,Warehouse_BOS,Denver,UPS,15/07/2023,19/07/2023,4.2,208.73,Delivered,1596,4
SH10199,Warehouse_HOU,San Francisco,OnTrac,31/01/2023,03/02/2023,20.1,169.98,Delivered,1108,3
SH10200,Warehouse_LA,Portland,LaserShip,28/12/2023,03/01/2024,9.6,195.3,Delivered,1380,6
SH10201,Warehouse_DEN,Dallas,UPS,28/03/2023,02/04/2023,5.3,197.9,Delivered,1605,5
SH10202,Warehouse_LA,Atlanta,USPS,09/12/2023,23/12/2023,10.8,232.88,Delayed,1504,4
SH10203,Warehouse_SF,Boston,DHL,31/01/2023,05/02/2023,61.1,350.67,Delivered,2138,5
SH10204,Warehouse_HOU,New York,OnTrac,16/09/2023,28/09/2023,20.1,112.36,Delayed,754,3
SH10206,Warehouse_LA,Houston,LaserShip,16/03/2023,20/03/2023,22.8,242.14,Delivered,1657,4
SH10207,Warehouse_MIA,Detroit,DHL,03/11/2023,07/11/2023,14.7,285.59,Delivered,1423,4
SH10208,Warehouse_LA,Seattle,FedEx,12/09/2023,17/09/2023,32.1,193.72,Delivered,1135,5
SH10209,Warehouse_BOS,Phoenix,DHL,18/05/2023,04/06/2023,8.7,121.73,Delayed,737,4
SH10210,Warehouse_BOS,Detroit,DHL,25/10/2023,27/10/2023,33.7,162.31,Delivered,796,2
SH10211,Warehouse_CHI,Chicago,FedEx,15/12/2023,17/12/2023,28.8,96.12,Delivered,308,2
SH10212,Warehouse_HOU,San Francisco,FedEx,15/12/2023,20/12/2023,9.1,125.92,Returned,787,5
SH10213,Warehouse_ATL,Denver,Amazon Logistics,28/08/2023,05/09/2023,28.5,284.4,Delivered,2074,8
SH10214,Warehouse_HOU,Chicago,DHL,22/09/2023,27/09/2023,88,297.28,Delivered,1145,5
SH10216,Warehouse_NYC,Los Angeles,USPS,04/08/2023,09/08/2023,24.1,141.81,Delivered,1082,5
SH10217,Warehouse_ATL,Dallas,FedEx,23/12/2023,26/12/2023,11.9,192.63,Delivered,1204,3
SH10218,Warehouse_HOU,Denver,LaserShip,04/09/2023,07/09/2023,17.9,133.27,Delivered,1030,3
SH10219,Warehouse_BOS,Dallas,Amazon Logistics,18/05/2023,20/05/2023,38.1,120.04,Delivered,603,2
SH10220,Warehouse_ATL,Boston,UPS,14/07/2023,19/07/2023,4.9,203.03,Delivered,1660,5
SH10221,Warehouse_CHI,Chicago,FedEx,06/09/2023,09/09/2023,86.2,210.89,Delivered,862,3
SH10222,Warehouse_CHI,Dallas,UPS,28/06/2023,03/07/2023,12.6,176.77,Delivered,1322,5
SH10223,Warehouse_HOU,Denver,UPS,19/06/2023,22/06/2023,33.8,161.45,Delivered,1030,3
SH10224,Warehouse_MIA,Minneapolis,FedEx,28/04/2023,07/05/2023,14.1,87.12,Delayed,573,3
SH10225,Warehouse_BOS,Portland,Amazon Logistics,13/09/2023,18/09/2023,19.3,98.54,Delayed,585,1
SH10226,Warehouse_HOU,Phoenix,USPS,10/12/2023,13/12/2023,16.6,219.37,Delivered,1469,3
SH10227,Warehouse_SEA,New York,OnTrac,29/11/2023,05/12/2023,16.1,161.74,Delivered,1053,6
SH10228,Warehouse_SEA,Boston,DHL,11/05/2023,14/05/2023,10.8,188.69,In Transit,1329,3
SH10229,Warehouse_DEN,Portland,Amazon Logistics,13/03/2023,14/03/2023,8.8,27.23,Delivered,156,1
SH10230,Warehouse_BOS,Portland,Amazon Logistics,01/03/2023,06/03/2023,12.1,247.5,Delayed,1760,4
SH10231,Warehouse_CHI,Detroit,FedEx,30/08/2023,12/09/2023,19.8,63.39,Delayed,283,2
SH10232,Warehouse_HOU,Houston,OnTrac,24/12/2023,27/12/2023,22.2,81.13,Delivered,397,3
SH10233,Warehouse_ATL,Los Angeles,Amazon Logistics,12/08/2023,16/08/2023,18.5,109.5,Delivered,816,4
SH10234,Warehouse_HOU,Los Angeles,LaserShip,28/04/2023,01/05/2023,10,96.03,Returned,715,3
SH10235,Warehouse_NYC,Phoenix,UPS,24/05/2023,28/05/2023,25.9,285.87,Delivered,1956,4
SH10236,Warehouse_BOS,Chicago,Amazon Logistics,30/07/2023,04/08/2023,22.8,277.9,Delivered,2187,5
SH10237,Warehouse_NYC,Seattle,USPS,14/09/2023,20/09/2023,85.5,345.35,Delivered,2172,6
SH10238,Warehouse_MIA,Denver,OnTrac,25/08/2023,28/08/2023,31.8,125.07,Delivered,816,3
SH10239,Warehouse_LA,Atlanta,DHL,30/06/2023,07/07/2023,3.1,185.13,Delivered,1236,7
SH10240,Warehouse_SF,New York,Amazon Logistics,24/06/2023,29/06/2023,54.9,319.88,Delivered,1902,5
SH10241,Warehouse_SEA,Denver,DHL,11/10/2023,15/10/2023,17.6,167.63,Delivered,1038,4
SH10242,Warehouse_SEA,Houston,LaserShip,24/05/2023,28/05/2023,8.7,188.16,Delivered,1590,4
SH10243,Warehouse_ATL,Chicago,DHL,12/08/2023,17/08/2023,11.8,92.57,In Transit,590,5
SH10244,Warehouse_HOU,Houston,LaserShip,03/04/2023,07/04/2023,44,167.48,Delivered,1105,4
SH10245,Warehouse_MIA,Minneapolis,USPS,17/02/2023,20/02/2023,16.7,152.32,Delivered,1153,3
SH10246,Warehouse_LA,Minneapolis,USPS,20/03/2023,23/03/2023,21.9,167.58,Delivered,1124,3
SH10247,Warehouse_LA,New York,LaserShip,28/02/2023,05/03/2023,3.6,230.21,Delivered,2074,5
SH10248,Warehouse_HOU,Seattle,UPS,28/12/2023,30/12/2023,32.7,97.49,Delivered,302,2
SH10249,Warehouse_DEN,Chicago,USPS,03/11/2023,08/11/2023,13.6,316.04,Delivered,2073,5
SH10250,Warehouse_NYC,Portland,Amazon Logistics,26/02/2023,27/01/2023,5.5,259.45,Delivered,2132,7
SH10251,Warehouse_BOS,Chicago,Amazon Logistics,02/03/2023,05/03/2023,27.5,111.16,Delivered,569,3
SH10252,Warehouse_BOS,Los Angeles,UPS,11/11/2023,16/11/2023,21.5,437.58,Delivered,2433,5
SH10253,Warehouse_ATL,Denver,LaserShip,15/01/2023,17/01/2023,24.8,110.65,Delivered,677,2
SH10254,Warehouse_BOS,Portland,LaserShip,27/02/2023,05/03/2023,11.2,324.52,In Transit,2379,6
SH10255,Warehouse_LA,Denver,UPS,11/11/2023,16/11/2023,17.9,191.48,Delivered,984,5
SH10256,Warehouse_DEN,Miami,DHL,19/05/2023,22/05/2023,34.9,102.14,Delivered,420,3
