Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,2011,Low
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,1564,Low
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,6709,Low
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,1048,Low
i8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,9545,High
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,2167,Low
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High
i8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,2085,Low
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030,High
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,1472,Low
i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High
i8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,1431,Low
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low
3 Series,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612,6698,Low
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low
i3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,8734,High
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644,High
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High
i8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812,2241,Low
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,8663,High
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High
i3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190,Low
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431,7462,High
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High
i8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,2162,Low
i8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,5935,Low
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,1732,Low
i3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202,3235,Low
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low
i3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070,High
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low
i3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,1344,Low
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,6584,Low
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249,Low
i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,9856,High
i3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,7607,High
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low
i3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951,High
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,4249,Low
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,6620,Low
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low
i3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,9128,High
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,3222,Low
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,9331,High
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,6897,Low
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,1396,Low
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,6640,Low
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,5542,Low
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,7342,High
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057,Low
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,7431,High
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065,Low
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087,High
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,5817,Low
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,3606,Low
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High
i8,2010,South America,Red,Hybrid,Automatic,2.0,49903,92666,9368,High
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,2069,Low
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,9612,High
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,381,Low
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,2815,Low
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,9239,High
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,5315,Low
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low
X3,2010,North America,Black,Electric,Manual,2.0,191879,50319,1311,Low
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,4298,Low
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,8127,High
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low
i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,8483,High
7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,6825,Low
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,9134,High
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,125,Low
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,5236,Low
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,2466,Low
7 Series,2010,South America,Black,Petrol,Manual,4.3,52940,51743,4350,Low
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,7920,High
i8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,113,Low
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,2275,Low
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,1714,Low
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,9847,High
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,4182,Low
M5,2012,Asia,Black,Electric,Automatic,2.0,65212,48461,3244,Low
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,6461,Low
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,9520,High
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,4579,Low
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,7530,High
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,9850,High
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,9122,High
7 Series,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,1916,Low
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,3813,Low
i3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,6205,Low
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,6688,Low
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,1402,Low
5 Series,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,8273,High
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,7577,High
M3,2010,Europe,Black,Hybrid,Manual,4.0,87426,60458,9098,High
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,4427,Low
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,9311,High
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,3182,Low
i3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,5797,Low
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,577,Low
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,3288,Low
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,7041,High
i8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,5284,Low
i8,2016,Europe,Blue,Petrol,Manual,4.5,191604,59627,9454,High
5 Series,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,6935,Low
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,5058,Low
3 Series,2020,South America,Grey,Diesel,Manual,4.0,175591,64007,7793,High
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,2353,Low
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,4643,Low
X1,2010,Africa,Grey,Diesel,Automatic,1.6,100516,49598,1252,Low
i3,2024,South America,White,Hybrid,Automatic,4.5,57231,47994,1675,Low
M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,6177,Low
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,4669,Low
i3,2014,South America,Grey,Diesel,Automatic,2.7,22417,98122,5178,Low
M5,2013,Asia,Silver,Diesel,Automatic,3.2,193534,70907,8254,High
M3,2011,South America,Grey,Petrol,Manual,4.5,137855,96941,6712,Low
i8,2015,Asia,Black,Hybrid,Automatic,2.4,6365,30074,2845,Low
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,4997,Low
3 Series,2020,Middle East,Red,Petrol,Manual,4.5,105037,73453,7286,High
i3,2024,South America,Blue,Hybrid,Manual,1.6,128016,107658,9124,High
X6,2010,Europe,White,Hybrid,Manual,4.7,7762,61914,5045,Low
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,4709,Low
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,1482,Low
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,3134,Low
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,6856,Low
3 Series,2022,Middle East,Silver,Petrol,Automatic,4.1,116572,47284,3730,Low
M3,2012,Europe,White,Diesel,Manual,4.7,194359,93837,8190,High
7 Series,2013,Africa,Red,Diesel,Manual,3.9,143864,74401,9067,High
3 Series,2021,South America,Grey,Hybrid,Automatic,2.1,37246,112265,5726,Low
7 Series,2020,Asia,White,Petrol,Automatic,2.6,188234,71570,3284,Low
i8,2013,Europe,White,Hybrid,Automatic,3.2,110079,70118,7254,High
i3,2012,Middle East,Silver,Petrol,Automatic,3.6,53579,80919,2377,Low
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,1883,Low
3 Series,2012,South America,Silver,Petrol,Manual,2.8,137794,99478,520,Low
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,8913,High
i3,2012,Africa,Red,Diesel,Manual,4.9,86785,99512,2353,Low
X3,2013,South America,Grey,Petrol,Manual,2.0,156944,55881,6169,Low
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,113,Low
X5,2013,Europe,White,Diesel,Automatic,3.0,162617,79299,2353,Low
i3,2018,Africa,Blue,Diesel,Manual,4.1,180348,46141,8132,High
X1,2010,Europe,Silver,Electric,Manual,2.5,97558,101553,1718,Low
3 Series,2017,Africa,Silver,Diesel,Manual,2.7,124960,115369,5481,Low
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,7436,High
X5,2011,Europe,Blue,Petrol,Automatic,4.9,141616,117994,6327,Low
i3,2017,Asia,Black,Diesel,Manual,4.3,42089,99138,5415,Low
X5,2010,North America,Silver,Diesel,Manual,1.8,102510,107741,2737,Low
X1,2020,Europe,Grey,Petrol,Automatic,5.0,64144,39207,4488,Low
5 Series,2021,North America,Blue,Hybrid,Automatic,3.6,166252,52030,1849,Low
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,6300,Low
X1,2018,Europe,Black,Petrol,Manual,1.7,25059,42749,3108,Low
M3,2011,Africa,White,Hybrid,Manual,2.9,49603,80312,2792,Low
i3,2016,Middle East,Black,Hybrid,Manual,3.8,134173,89891,3901,Low
i3,2024,Asia,Red,Petrol,Manual,1.9,42153,62609,897,Low
i3,2023,Europe,Grey,Hybrid,Automatic,3.2,136858,54036,3108,Low
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,9003,High
3 Series,2012,Africa,Red,Electric,Automatic,2.3,190156,116827,9454,High
X6,2016,Africa,Grey,Petrol,Automatic,2.6,160714,115705,7064,High
5 Series,2021,North America,White,Petrol,Manual,4.9,128242,51552,4585,Low
7 Series,2019,North America,Silver,Hybrid,Automatic,2.5,40052,32230,4515,Low
i8,2018,Asia,Grey,Petrol,Manual,2.2,126505,92606,9586,High
i8,2013,Middle East,Silver,Hybrid,Automatic,3.4,149450,97301,9597,High
i8,2021,Africa,Black,Diesel,Manual,3.8,164473,102381,9156,High
5 Series,2010,South America,Red,Electric,Automatic,4.0,9951,39129,8440,High
3 Series,2011,North America,Grey,Hybrid,Automatic,4.1,146359,105042,2463,Low
i8,2010,South America,Red,Diesel,Manual,1.6,76908,48463,3398,Low
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,8066,High
