bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9.78062E+12,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78035E+12,eng,544,69167,4551,9/29/1996,Ballantine Books,
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9.78039E+12,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9.78079E+12,en-US,256,16,1,11/1/2004,Thomas Nelson,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,9.78047E+12,eng,205,174,16,5/19/2006,Wiley,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,9.78033E+12,eng,240,10,0,2/7/2000,Heinemann Drama,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9.78006E+12,eng,336,76,9,5/3/2005,William Morrow Paperbacks,
133,eBay for Dummies,Marsha Collier,3.5,470045299,9.78047E+12,eng,386,111,9,10/30/2006,Wiley,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,9.78007E+12,eng,260,24,0,1/24/2006,McGraw-Hill,
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,9.78076E+12,eng,384,55,4,9/17/2004,Wiley,
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9.78047E+12,eng,260,9,0,6/6/2006,Wiley,
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,9.78076E+12,en-US,391,22,1,5/31/2004,Wiley,
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9.78076E+12,en-US,864,17,3,4/25/2005,Wiley,
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,9.7806E+12,eng,873,166,4,7/29/2006,O'Reilly Media,
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9.78081E+12,eng,240,50,5,5/3/2005,Citadel,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9.78081E+12,eng,206,13,2,5/3/2005,Citadel,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,9.7806E+12,eng,514,64,1,1/1/2007,O'Reilly Media,
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78014E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,9.78045E+12,eng,960,109420,5696,11/5/2002,Signet,
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9.78014E+12,eng,837,2904,309,1/30/2003,Penguin Books,
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,9.78082E+12,eng,80,16,3,11/26/1965,Cliffs Notes,
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78159E+12,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,9.78049E+12,eng,752,474,72,11/23/2004,Dover Publications,
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9.78159E+12,eng,803,303,48,8/26/2004,Barnes & Noble,
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9.78078E+12,eng,360,411,65,1/28/2006,Mira Books,
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9.78052E+12,eng,128,1204,33,11/26/1987,Cambridge University Press,
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,9.78014E+12,eng,160,3429,279,7/3/1990,Penguin Books,
163,The Untouchable,John Banville,3.95,679767479,9.78068E+12,eng,367,2163,216,6/30/1998,Vintage,
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9.78157E+12,eng,256,613,31,2/1/1996,Buccaneer Books,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9.78074E+12,en-US,320,308,40,9/27/2005,Scribner,
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,9.78093E+12,eng,100,10,0,1/28/1995,Clarity Press,
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,9.78074E+12,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9.78021E+12,eng,216,10,0,9/22/2003,Pearson,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9.78156E+12,eng,48,17,0,9/28/1991,Teacher Created Resources,
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,9.78038E+12,eng,360,1035,23,10/1/1994,Harper Perennial,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,9.78082E+12,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9.78044E+12,eng,32,15,0,1/1/2002,Teaching Resources,
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263,9.78061E+12,spa,205,6,1,6/1/1984,Turtleback Books,
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,9.78075E+12,eng,367,376,17,6/1/1994,Little  Brown Book Group,
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78006E+12,eng,352,3086,237,1/3/2006,William Morrow,
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,9.78074E+12,en-US,320,352,44,11/1/2005,Atria Books,
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9.78077E+12,eng,331,9852,633,3/7/2006,Tor Books,
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9.7814E+12,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard,
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9.7814E+12,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard,
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9.7814E+12,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard,
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,9.78068E+12,eng,144,98,11,10/3/1990,Vintage,
231,I am Charlotte Simmons,Tom Wolfe,3.42,312424442,9.78031E+12,eng,738,20888,1688,8/30/2005,Picador USA,
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,9.78081E+12,eng,48,66,19,10/1/2001,Sterling,
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,9.78014E+12,eng,287,81,6,10/3/1996,Puffin,
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,9.78081E+12,eng,217,981,52,2/1/1964,New Directions Publishing,
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9.7808E+12,eng,154,3381,141,1/13/1994,Grove Press,
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,802131786,9.7808E+12,eng,318,53206,2376,1/6/1994,Grove Press,
250,Tropic of Capricorn,Henry Miller,3.78,802151825,9.7808E+12,eng,348,14872,459,1/13/1994,Grove Press,
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,9.7808E+12,eng,316,3261,58,1/13/1994,Grove Press,
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809,9.7808E+12,eng,506,7805,251,1/12/1994,Grove Press,
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9.78081E+12,eng,292,2699,142,1/17/1970,New Directions,
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,141439637,9.78014E+12,eng,797,61640,1951,9/30/2003,Penguin Classics,
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9.78159E+12,eng,635,392,41,1/16/2004,Barnes  Noble Classics,
277,Writing,Marguerite Duras,3.75,1571290532,9.78157E+12,eng,91,778,44,5/6/1999,Brookline Books,
278,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9.78157E+12,eng,192,963,65,8/1/1994,The New Press,
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,394743040,9.78039E+12,en-US,181,2057,128,3/12/1986,Pantheon,
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9.78185E+12,eng,178,203,8,7/1/1999,One World (UK),
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9.78157E+12,eng,464,35,2,4/1/1998,Interlink Publishing Group,
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9.78014E+12,eng,102,328,16,1/1/1998,Penguin Books,
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,394431243,9.78039E+12,eng,216,1308,82,2/21/1995,Knopf,
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,806501901,9.78081E+12,eng,132,6432,517,3/3/2003,Citadel,
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9.78068E+12,eng,100,3015,217,6/14/2011,Knopf,
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,9.78075E+12,eng,311,318753,6734,9/15/2001,Kingfisher,
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9.7814E+12,en-US,213,420,42,10/1/2004,Sterling Children's Books,
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9.78142E+12,eng,245,5967,276,6/1/2005,Simon & Schuster,
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,689854684,9.78069E+12,eng,64,104,14,7/1/2003,Atheneum Books for Young Readers,
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,517221144,9.78052E+12,en-US,272,56,4,9/3/2002,Gramercy Books,
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9.78158E+12,eng,232,91,16,1/31/2006,Abdo Publishing Company,
313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,9.78093E+12,eng,270,88,4,11/22/1996,Black Classic Press,
324,Cien años de soledad,Gabriel García Márquez,4.07,785950109,9.78079E+12,spa,448,63,7,1/1/1990,French & European,
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9.78039E+12,eng,64,2815,164,9/12/1955,Random House Books for Young Readers,
332,The Wedding Clause,Debbie Raleigh,3.6,821778250,9.78082E+12,eng,256,95,13,6/7/2005,Zebra,
333,The Zebra Wall,Kevin Henkes,3.44,60733039,9.78006E+12,eng,147,217,24,2/15/2005,Greenwillow Books,
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9.78843E+12,spa,239,4136,255,6/1/2002,Booket,
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9.78035E+12,eng,304,17232,649,6/17/1997,Del Rey,
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9.78044E+12,eng,528,251872,6241,10/1/1991,Ace,
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9.78044E+12,en-US,434,10293,193,6/1/1988,Ace Books,
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9.78035E+12,en-US,439,15970,438,10/12/1985,Del Rey,
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9.78077E+12,eng,256,6898,200,8/8/2006,Tor Books,
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9.78067E+12,en-US,307,67803,1401,2/15/1991,Pocket Books,
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,9.78035E+12,eng,298,22091,746,4/26/2005,Del Rey,
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9.78035E+12,eng,368,2623,49,12/27/2005,Del Rey,
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,9.78035E+12,eng,256,885,84,10/27/1998,Ballantine Books,
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,9.78142E+12,eng,336,5,0,7/1/2003,Turtleback Books,
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,573650969,9.78057E+12,eng,72,100,13,1/12/2011,Samuel French  Inc.,
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,9.78069E+12,eng,67,9358,995,1/30/2005,Princeton University Press,
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9.78039E+12,eng,347,9318,907,9/12/2005,W. W. Norton & Company,
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,9.78067E+12,en-US,317,120,15,6/12/1993,Simon & Schuster,
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,9.7804E+12,eng,32,5239,76,2/2/1998,HMH Books for Young Readers,
399,Underworld,Don DeLillo,3.92,684848155,9.78068E+12,eng,827,1505,175,7/9/1998,Scribner,
400,Libra,Don DeLillo,3.99,140156046,9.78014E+12,eng,480,11857,564,5/1/1991,Penguin,
403,Americana,Don DeLillo,3.43,140119485,9.78014E+12,eng,377,393,55,7/6/1989,Penguin Books,
404,Running Dog,Don DeLillo,3.43,679722947,9.78068E+12,eng,256,1356,72,7/17/1989,Vintage Contemporaries,
406,Cosmopolis,Don DeLillo,3.22,743244257,9.78074E+12,eng,224,460,41,4/6/2004,Scribner,
407,Great Jones Street,Don DeLillo,3.48,140179178,9.78014E+12,eng,272,2492,145,1/1/1994,Penguin Books,
408,The Names,Don DeLillo,3.64,679722955,9.78068E+12,eng,339,3100,212,7/17/1989,Vintage,
409,Against the Day,Thomas Pynchon,4.13,159420120X,9.78159E+12,eng,1085,5296,587,11/21/2006,Penguin Press,
410,V.,Thomas Pynchon,3.96,60930217,9.78006E+12,eng,547,1415,177,7/5/2005,Harper Perennial Modern Classics,
411,The Crying of Lot 49,Thomas Pynchon,3.69,60931671,9.78006E+12,eng,152,2161,230,4/1/1999,Harper Perennial,
412,Gravity's Rainbow,Thomas Pynchon,4.01,140283382,9.78014E+12,eng,784,762,213,1/1/2000,Penguin Books,
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,9.78031E+12,eng,773,8086,602,1/3/2004,Picador USA,
414,Vineland,Thomas Pynchon,3.69,141180633,9.78014E+12,en-US,385,702,69,9/1/1997,Penguin Classics,
415,Gravity's Rainbow,Thomas Pynchon,4.01,143039946,9.78014E+12,eng,776,29764,2164,10/31/2006,Penguin Books,
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,9.78032E+12,eng,193,334,34,4/30/1985,Back Bay Books,
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,140189300,9.78014E+12,eng,352,2473,220,8/29/1996,Penguin Classics,
